probeid	MSU6
1553679_s_at NA
1553681_a_at NA
1553682_at NA
1553683_s_at NA
1553684_at NA
1553685_s_at NA
1553686_at NA
1553688_at NA
1553689_s_at NA
1553690_at NA
1553691_at NA
1553693_s_at NA
1553694_a_at NA
1553695_a_at NA
1553696_s_at NA
1553697_at NA
1553698_a_at NA
1553701_a_at NA
1553702_at NA
1553703_at NA
1553704_x_at NA
1553705_a_at NA
1553706_at NA
1553708_at NA
1553709_a_at NA
1553710_at NA
1553711_a_at NA
1553713_a_at NA
1553715_s_at NA
1553717_at NA
1553718_at NA
1553719_s_at NA
1553720_a_at NA
1553721_at NA
1553722_s_at NA
1553723_at NA
1553725_s_at NA
1553726_s_at NA
1553727_at NA
1553728_at NA
1553729_s_at NA
1553730_x_at NA
1553732_s_at NA
1553734_at NA
1553736_at NA
1553739_at NA
1553740_a_at NA
1553741_at NA
1553743_at NA
1553746_a_at NA
1553747_at NA
1553749_at NA
1553750_a_at NA
1553752_at NA
1553755_at NA
1553756_at NA
1553757_at NA
1553759_at NA
1553761_at NA
1553764_a_at NA
1553765_a_at NA
1553768_a_at NA
1553769_at NA
1553770_a_at NA
1553772_at NA
1553775_at NA
1553776_at NA
1553778_at NA
1553780_at NA
1553781_at NA
1553785_at NA
1553787_at NA
1553789_a_at NA
1553792_at NA
1553793_a_at NA
1553794_at NA
1553796_at NA
1553797_a_at NA
1553798_a_at NA
1553799_at NA
1553801_a_at NA
1553802_a_at NA
1553803_at NA
1553804_a_at NA
1553805_at NA
1553808_a_at NA
1553809_a_at NA
1553810_a_at NA
1553811_at NA
1553812_at NA
1553813_s_at NA
1553815_a_at NA
1553817_at NA
1553818_x_at NA
1553821_at NA
1553822_at NA
1553823_a_at NA
1553826_a_at NA
1553828_at NA
1553829_at NA
1553830_s_at NA
1553831_at NA
1553832_at NA
1553834_at NA
1553835_a_at NA
1553837_at NA
1553838_at NA
1553839_at NA
1553840_a_at NA
1553842_at NA
1553843_at NA
1553844_a_at NA
1553845_x_at NA
1553846_at NA
1553847_a_at NA
1553849_at NA
1553850_at NA
1553851_at NA
1553852_at NA
1553856_s_at NA
1553857_at NA
1553858_at NA
1553859_at NA
1553860_at NA
1553861_at NA
1553863_at NA
1553864_at NA
1553865_a_at NA
1553868_a_at NA
1553869_at NA
1553871_at NA
1553872_at NA
1553873_at NA
1553874_a_at NA
1553875_s_at NA
1553876_at NA
1553878_at NA
1553879_a_at NA
1553880_at NA
1553881_at NA
1553882_at NA
1553883_at NA
1553885_x_at NA
1553886_at NA
1553887_at NA
1553888_at NA
1553889_at NA
1553890_s_at NA
1553891_at NA
1553893_at NA
1553894_at NA
1553895_at NA
1553898_a_at NA
1553900_s_at NA
1553901_x_at NA
1553905_at NA
1553906_s_at NA
1553907_a_at NA
1553909_x_at NA
1553910_at NA
1553911_at NA
